country,population_2020,med_age,world_share
China,1439323776,38,0.1847
India,1380004385,28,0.177
United States,331002651,38,0.0425
Indonesia,273523615,30,0.0351
Pakistan,220892340,23,0.0283
Brazil,212559417,33,0.0273
Nigeria,206139589,18,0.0264
Bangladesh,164689383,28,0.0211
Russia,145934462,40,0.0187
Mexico,128932753,29,0.0165
Japan,126476461,48,0.0162
Ethiopia,114963588,19,0.0147
Philippines,109581078,26,0.0141
Egypt,102334404,25,0.0131
Vietnam,97338579,32,0.0125
DR Congo,89561403,17,0.0115
Turkey,84339067,32,0.0108
Iran,83992949,32,0.0108
Germany,83783942,46,0.0107
Thailand,69799978,40,0.009
United Kingdom,67886011,40,0.0087
France,65273511,42,0.0084
Italy,60461826,47,0.0078
Tanzania,59734218,18,0.0077
South Africa,59308690,28,0.0076
Myanmar,54409800,29,0.007
Kenya,53771296,20,0.0069
South Korea,51269185,44,0.0066
Colombia,50882891,31,0.0065
Spain,46754778,45,0.006
Uganda,45741007,17,0.0059
Argentina,45195774,32,0.0058
Algeria,43851044,29,0.0056
Sudan,43849260,20,0.0056
Ukraine,43733762,41,0.0056
Iraq,40222493,21,0.0052
Afghanistan,38928346,18,0.005
Poland,37846611,42,0.0049
Canada,37742154,41,0.0048
Morocco,36910560,30,0.0047
Saudi Arabia,34813871,32,0.0045
Uzbekistan,33469203,28,0.0043
Peru,32971854,31,0.0042
Angola,32866272,17,0.0042
Malaysia,32365999,30,0.0042
Mozambique,31255435,18,0.004
Ghana,31072940,22,0.004
Yemen,29825964,20,0.0038
Nepal,29136808,25,0.0037
Venezuela,28435940,30,0.0036
Madagascar,27691018,20,0.0036
Cameroon,26545863,19,0.0034
Côte d'Ivoire,26378274,19,0.0034
North Korea,25778816,35,0.0033
Australia,25499884,38,0.0033
Niger,24206644,15,0.0031
Taiwan,23816775,42,0.0031
Sri Lanka,21413249,34,0.0027
Burkina Faso,20903273,18,0.0027
Mali,20250833,16,0.0026
Romania,19237691,43,0.0025
Malawi,19129952,18,0.0025
Chile,19116201,35,0.0025
Kazakhstan,18776707,31,0.0024
Zambia,18383955,18,0.0024
Guatemala,17915568,23,0.0023
Ecuador,17643054,28,0.0023
Syria,17500658,26,0.0022
Netherlands,17134872,43,0.0022
Senegal,16743927,19,0.0021
Cambodia,16718965,26,0.0021
Chad,16425864,17,0.0021
Somalia,15893222,17,0.002
Zimbabwe,14862924,19,0.0019
Guinea,13132795,18,0.0017
Rwanda,12952218,20,0.0017
Benin,12123200,19,0.0016
Burundi,11890784,17,0.0015
Tunisia,11818619,33,0.0015
Bolivia,11673021,26,0.0015
Belgium,11589623,42,0.0015
Haiti,11402528,24,0.0015
Cuba,11326616,42,0.0015
South Sudan,11193725,19,0.0014
Dominican Republic,10847910,28,0.0014
Czech Republic (Czechia),10708981,43,0.0014
Greece,10423054,46,0.0013
Jordan,10203134,24,0.0013
Portugal,10196709,46,0.0013
Azerbaijan,10139177,32,0.0013
Sweden,10099265,41,0.0013
Honduras,9904607,24,0.0013
United Arab Emirates,9890402,33,0.0013
Hungary,9660351,43,0.0012
Tajikistan,9537645,22,0.0012
Belarus,9449323,40,0.0012
Austria,9006398,43,0.0012
Papua New Guinea,8947024,22,0.0011
Serbia,8737371,42,0.0011
Israel,8655535,30,0.0011
Switzerland,8654622,43,0.0011
Togo,8278724,19,0.0011
Sierra Leone,7976983,19,0.001
Hong Kong,7496981,45,0.001
Laos,7275560,24,0.0009
Paraguay,7132538,26,0.0009
Bulgaria,6948445,45,0.0009
Libya,6871292,29,0.0009
Lebanon,6825445,30,0.0009
Nicaragua,6624554,26,0.0008
Kyrgyzstan,6524195,26,0.0008
El Salvador,6486205,28,0.0008
Turkmenistan,6031200,27,0.0008
Singapore,5850342,42,0.0008
Denmark,5792202,42,0.0007
Finland,5540720,43,0.0007
Congo,5518087,19,0.0007
Slovakia,5459642,41,0.0007
Norway,5421241,40,0.0007
Oman,5106626,31,0.0007
State of Palestine,5101414,21,0.0007
Costa Rica,5094118,33,0.0007
Liberia,5057681,19,0.0006
Ireland,4937786,38,0.0006
Central African Republic,4829767,18,0.0006
New Zealand,4822233,38,0.0006
Mauritania,4649658,20,0.0006
Panama,4314767,30,0.0006
Kuwait,4270571,37,0.0005
Croatia,4105267,44,0.0005
Moldova,4033963,38,0.0005
Georgia,3989167,38,0.0005
Eritrea,3546421,19,0.0005
Uruguay,3473730,36,0.0004
Bosnia and Herzegovina,3280819,43,0.0004
Mongolia,3278290,28,0.0004
Armenia,2963243,35,0.0004
Jamaica,2961167,31,0.0004
Qatar,2881053,32,0.0004
Albania,2877797,36,0.0004
Puerto Rico,2860853,44,0.0004
Lithuania,2722289,45,0.0003
Namibia,2540905,22,0.0003
Gambia,2416668,18,0.0003
Botswana,2351627,24,0.0003
Gabon,2225734,23,0.0003
Lesotho,2142249,24,0.0003
North Macedonia,2083374,39,0.0003
Slovenia,2078938,45,0.0003
Guinea-Bissau,1968001,19,0.0003
Latvia,1886198,44,0.0002
Bahrain,1701575,32,0.0002
Equatorial Guinea,1402985,22,0.0002
Trinidad and Tobago,1399488,36,0.0002
Estonia,1326535,42,0.0002
Timor-Leste,1318445,21,0.0002
Mauritius,1271768,37,0.0002
Cyprus,1207359,37,0.0002
Eswatini,1160164,21,0.0001
Djibouti,988000,27,0.0001
Fiji,896445,28,0.0001
Reunion,895312,36,0.0001
Comoros,869601,20,0.0001
Guyana,786552,27,0.0001
Bhutan,771608,28,0.0001
Solomon Islands,686884,20,0.0001
Macao,649335,39,0.0001
Montenegro,628066,39,0.0001
Luxembourg,625978,40,0.0001
Western Sahara,597339,28,0.0001
Suriname,586632,29,0.0001
Cabo Verde,555987,28,0.0001
Maldives,540544,30,0.0001
Malta,441543,43,0.0001
Brunei,437479,32,0.0001
Guadeloupe,400124,44,0.0001
Belize,397628,25,0.0001
Bahamas,393244,32,0.0001
Martinique,375265,47,0
Iceland,341243,37,0
Vanuatu,307145,21,0
French Guiana,298682,25,0
Barbados,287375,40,0
New Caledonia,285498,34,0
French Polynesia,280908,34,0
Mayotte,272815,20,0
Sao Tome & Principe,219159,19,0
Samoa,198414,22,0
Saint Lucia,183627,34,0
Channel Islands,173863,43,0
Guam,168775,31,0
Curaçao,164093,42,0
Kiribati,119449,23,0
Micronesia,115023,24,0
Grenada,112523,32,0
St. Vincent & Grenadines,110940,33,0
Aruba,106766,41,0
Tonga,105695,22,0
U.S. Virgin Islands,104425,43,0
Seychelles,98347,34,0
Antigua and Barbuda,97929,34,0
Isle of Man,85033,0,0
Andorra,77265,0,0
Dominica,71986,0,0
Cayman Islands,65722,0,0
Bermuda,62278,0,0
Marshall Islands,59190,0,0
Northern Mariana Islands,57559,0,0
Greenland,56770,0,0
American Samoa,55191,0,0
Saint Kitts & Nevis,53199,0,0
Faeroe Islands,48863,0,0
Sint Maarten,42876,0,0
Monaco,39242,0,0
Turks and Caicos,38717,0,0
Saint Martin,38666,0,0
